time,precipitation_sum (mm),temperature_2m_max (°C)
5/1/2020,1.8,17.8
5/2/2020,14.7,17.2
5/3/2020,4.3,12.9
5/4/2020,1.5,18.9
5/5/2020,1.8,19.9
5/6/2020,15.4,13.6
5/7/2020,0,18.4
5/8/2020,0,25.2
5/9/2020,0,28.1
5/10/2020,0,28.1
5/11/2020,2.7,24.1
5/12/2020,13.5,18.8
5/13/2020,2.2,17.3
5/14/2020,6.8,16.2
5/15/2020,0.4,18
5/16/2020,3.4,17.7
5/17/2020,14.8,17.5
5/18/2020,0.1,18.3
5/19/2020,0.4,16.9
5/20/2020,4.5,14.2
5/21/2020,10.8,11.6
5/22/2020,4.2,15.4
5/23/2020,1.2,16
5/24/2020,0,19.6
5/25/2020,11.1,15.3
5/26/2020,0.7,17.7
5/27/2020,0,22
5/28/2020,0,25.3
5/29/2020,0,21.8
5/30/2020,16.6,14.3
5/31/2020,7.7,14
6/1/2020,0,17.8
6/2/2020,0.2,18.4
6/3/2020,0,18.2
6/4/2020,0,18.3
6/5/2020,2,17.2
6/6/2020,11.9,15.8
6/7/2020,10.3,14.9
6/8/2020,1.1,15.8
6/9/2020,15.7,16.9
6/10/2020,1.7,22.4
6/11/2020,5,19.5
6/12/2020,4.1,15.2
6/13/2020,7.4,14.6
6/14/2020,1.2,16.9
6/15/2020,10.4,13.6
6/16/2020,2.4,16.6
6/17/2020,0,19.9
6/18/2020,0,22.3
6/19/2020,0,25.8
6/20/2020,3.4,21.6
6/21/2020,0.5,19.5
6/22/2020,0,24.5
6/23/2020,0,27.2
6/24/2020,1.5,21.9
6/25/2020,0,24.3
6/26/2020,0.5,25.7
6/27/2020,4.9,15.3
6/28/2020,8,19
6/29/2020,0,23
6/30/2020,2.5,17.5
7/1/2020,2,17.8
7/2/2020,0.7,18.4
7/3/2020,0.9,17.6
7/4/2020,0,20.6
7/5/2020,0,21
7/6/2020,0.1,20.2
7/7/2020,2.5,16.8
7/8/2020,0.2,20.6
7/9/2020,4.8,20.4
7/10/2020,0.2,22.7
7/11/2020,0.1,21.2
7/12/2020,2,18.7
7/13/2020,0,21.7
7/14/2020,0,24.4
7/15/2020,0,25.8
7/16/2020,0.2,26
7/17/2020,5.2,19.4
7/18/2020,0,24.5
7/19/2020,0,26.7
7/20/2020,0,28.8
7/21/2020,0,28.2
7/22/2020,0.6,21
7/23/2020,0.4,21.9
7/24/2020,1.5,19.7
7/25/2020,0,23.4
7/26/2020,0,29.5
7/27/2020,0,32.7
7/28/2020,0,28.3
7/29/2020,0,29.6
7/30/2020,0,30.5
7/31/2020,0,28.5
8/1/2020,0,23.7
8/2/2020,0,26
8/3/2020,0.4,25.1
8/4/2020,0,26.5
8/5/2020,0,27.2
8/6/2020,14.2,17.1
8/7/2020,1.2,22.1
8/8/2020,1.2,18.5
8/9/2020,0,22.7
8/10/2020,0,24.7
8/11/2020,0.1,23.8
8/12/2020,0,18.7
8/13/2020,0,21.7
8/14/2020,0,24.7
8/15/2020,0,28.8
8/16/2020,0,35
8/17/2020,0,29.7
8/18/2020,0,25.7
8/19/2020,0,26.9
8/20/2020,3.8,25.3
8/21/2020,5.1,21.5
8/22/2020,8.4,22.2
8/23/2020,0,22.8
8/24/2020,0,22.4
8/25/2020,0,23
8/26/2020,0,23.2
8/27/2020,0,24
8/28/2020,0,24.1
8/29/2020,0.2,19.3
8/30/2020,0.1,21.3
8/31/2020,0.4,19.6
9/1/2020,0,25.4
9/2/2020,0,25.1
9/3/2020,0,26.7
9/4/2020,0,27.7
9/5/2020,0.1,22.4
9/6/2020,0,25.2
9/7/2020,0,27.8
9/8/2020,0,26.5
9/9/2020,0,30.4
9/10/2020,0,31.7
9/11/2020,0,26
9/12/2020,0,24.9
9/13/2020,0,22.3
9/14/2020,0,23.6
9/15/2020,1.7,24.9
9/16/2020,0,24.9
9/17/2020,0,23.3
9/18/2020,6.6,19.4
9/19/2020,5,19.9
9/20/2020,2.2,20.2
9/21/2020,1.7,20.1
9/22/2020,2.2,20.9
9/23/2020,41,16.8
9/24/2020,12.3,17.3
9/25/2020,35.2,15.8
9/26/2020,11.6,15.4
9/27/2020,0.1,18.5
9/28/2020,0,22.3
9/29/2020,0,24
9/30/2020,0,25.3
10/1/2020,0,21.1
10/2/2020,0.2,21.1
10/3/2020,0,20.3
10/4/2020,0.6,16.8
10/5/2020,0,19.7
10/6/2020,0,21.6
